2024-05-29 10:27:21.334 [restartedMain] INFO  c.e.b.BookstoreBackendApplication - Starting BookstoreBackendApplication using Java 22.0.1 with PID 17472 (C:\Users\Tran Gia Bao\Desktop\borestook-management\backend\bookstore_backend\target\classes started by Tran Gia Bao in C:\Users\Tran Gia Bao\Desktop\borestook-management\backend\bookstore_backend)
2024-05-29 10:27:21.336 [restartedMain] INFO  c.e.b.BookstoreBackendApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:27:21.396 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-29 10:27:21.396 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-29 10:27:22.111 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-29 10:27:22.199 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 10 JPA repository interfaces.
2024-05-29 10:27:22.845 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-05-29 10:27:22.854 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-05-29 10:27:22.856 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-29 10:27:22.856 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-05-29 10:27:22.913 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-29 10:27:22.913 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1517 ms
2024-05-29 10:27:23.032 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-29 10:27:23.457 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5a45241
2024-05-29 10:27:23.459 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
